donor_name,usd_disb,proj_n
United States,0.008929851143,26392
Germany,0.005856046264,6722
France,0.00220443062,6582
International Development Association,0.004347599844,5721
Sweden,0.001351725841,3571
EU Institutions,0.002095551708,2936
Japan,0.000543892274,2855
Belgium,0.000915783463,1900
Switzerland,0.000338747131,1812
Canada,0.000172484488,1612
United Kingdom,0.000805985143,1227
Italy,0.000124414755,1115
Australia,0.000494862503,779
Norway,0.000530923185,745
Global Environment Facility,0.000404987358,678
