donor_name,usd_disb,proj_n,usd_disb_m
United States,0.008929851143,26392,8929.851143
Germany,0.005856046264,6722,5856.046264
International Development Association,0.004347599844,5721,4347.599843999999
France,0.00220443062,6582,2204.43062
EU Institutions,0.002095551708,2936,2095.551708
Sweden,0.001351725841,3571,1351.725841
Belgium,0.000915783463,1900,915.783463
United Kingdom,0.000805985143,1227,805.985143
Japan,0.000543892274,2855,543.892274
Norway,0.000530923185,745,530.923185
Australia,0.000494862503,779,494.86250300000006
Global Environment Facility,0.000404987358,678,404.98735800000003
Switzerland,0.000338747131,1812,338.74713099999997
Canada,0.000172484488,1612,172.484488
Netherlands,0.000167227215,67,167.227215
