recipient_name,usd_disb,proj_n
"Bilateral, unspecified",0.006659258746,6897
"South of Sahara, regional",0.0011522,2110
India,0.0013984026879999,1974
Tanzania,0.0005758090019999,1506
Indonesia,0.000601679521,1495
Kenya,0.00049151018,1439
Ethiopia,0.000759471921,1408
Senegal,0.000317883485,1393
Uganda,0.0003429738899999,1368
Mozambique,0.0005215747539999,1302
Madagascar,0.0003369598689999,1259
Democratic Republic of the Congo,0.001003301549,1221
Viet Nam,0.000447629153,1183
Mali,0.00039845367,1178
Bangladesh,0.000491426466,1151
