recipient_name,usd_disb,proj_n,usd_disb_m
"Bilateral, unspecified",0.006659258746,6897,6659.258746
India,0.0013984026879999,1974,1398.4026879999
"South of Sahara, regional",0.0011522,2110,1152.1999999999998
Democratic Republic of the Congo,0.001003301549,1221,1003.301549
Nigeria,0.0008861327969999,865,886.1327969998999
Ethiopia,0.000759471921,1408,759.471921
Indonesia,0.000601679521,1495,601.679521
Tanzania,0.0005758090019999,1506,575.8090019998999
"Africa, regional",0.000531049297,680,531.049297
Mozambique,0.0005215747539999,1302,521.5747539998999
Kenya,0.00049151018,1439,491.51017999999993
Bangladesh,0.000491426466,1151,491.42646599999995
Colombia,0.000476810523,916,476.810523
Brazil,0.000468087582,1022,468.087582
Viet Nam,0.000447629153,1183,447.629153
