donor_name,usd_disb,proj_n
United States,0.008929851143,26392
Germany,0.005856046264,6722
International Development Association,0.004347599844000001,5721
France,0.00220443062,6582
EU Institutions,0.002095551708,2936
Sweden,0.001351725841,3571
Belgium,0.000915783463,1900
United Kingdom,0.000805985143,1227
Japan,0.000543892274,2855
Norway,0.000530923185,745
Australia,0.000494862503,779
Global Environment Facility,0.000404987358,678
Switzerland,0.00033874713100000005,1812
Canada,0.000172484488,1612
Netherlands,0.000167227215,67
Italy,0.000124414755,1115
Austria,0.000124398115,675
Denmark,9.520636399999999e-05,247
Korea,7.2890854e-05,299
Finland,5.3120568e-05,382
New Zealand,4.1235867e-05,69
United Arab Emirates,3.1005617e-05,430
Spain,3.0245562e-05,351
Ireland,1.6261770999999998e-05,102
Iceland,9.265326e-06,23
Czechia,7.304977e-06,87
Inter-American Development Bank,4.490742e-06,22
Portugal,4.068055e-06,36
Luxembourg,2.16765e-06,2
Liechtenstein,9.69546e-07,5
Slovak Republic,7.74226e-07,7
Adaptation Fund,6.790000000000001e-07,6
Lithuania,3.332e-07,17
Food and Agriculture Organisation,2.02294e-07,3
Poland,1.17078e-07,14
Slovenia,1.4094e-08,1
Estonia,1.0796999999999999e-08,3
Hungary,9.840000000000001e-10,1
Saudi Arabia,0.0,0
Qatar,0.0,0
Romania,0.0,0
UN Women,0.0,0
Thailand,0.0,0
Türkiye,0.0,0
UN Economic and Social Commission for Western Asia,0.0,0
UNAIDS,0.0,0
UNDP,0.0,0
UNEP,0.0,0
UNFPA,0.0,0
UNICEF,0.0,0
WFP,0.0,0
WHO-Strategic Preparedness and Response Plan,0.0,0
WTO - International Trade Centre,0.0,0
World Health Organisation,0.0,0
OPEC Fund for International Development,0.0,0
Kazakhstan,0.0,0
Nordic Development Fund,0.0,0
Montreal Protocol,0.0,0
Asian Development Bank,0.0,0
Asian Infrastructure Investment Bank,0.0,0
Azerbaijan,0.0,0
Bulgaria,0.0,0
Caribbean Development Bank,0.0,0
Chinese Taipei,0.0,0
Climate Investment Funds,0.0,0
Council of Europe Development Bank,0.0,0
Croatia,0.0,0
Development Bank of Latin America,0.0,0
Global Alliance for Vaccines and Immunization,0.0,0
Global Fund,0.0,0
Global Green Growth Institute,0.0,0
Greece,0.0,0
Green Climate Fund,0.0,0
IFAD,0.0,0
International Atomic Energy Agency,0.0,0
International Labour Organisation,0.0,0
Islamic Development Bank,0.0,0
Israel,0.0,0
Arab Fund (AFESD),0.0,0
Kuwait,0.0,0
Latvia,0.0,0
Malta,0.0,0
Monaco,0.0,0
World Trade Organisation,0.0,0
