recipient_name,usd_disb,proj_n,bio_wtd
Afghanistan,6.034360999999999e-06,37,0.0
"Africa, regional",0.009096759807000001,8710,474.0
Albania,0.0011600645460000001,6303,134.0
Algeria,0.0012258232980000001,2880,99.0
"America, regional",0.005072884388000001,6936,402.0
Angola,0.000899159073,3043,110.5
Antigua and Barbuda,1.92495e-05,216,11.5
Argentina,0.000497521005,2965,121.0
Armenia,0.001026394962,7074,133.5
"Asia, regional",0.004494549558,9484,594.0
Azerbaijan,0.000483404161,3440,45.5
Bangladesh,0.018912799219,16910,915.5
Belarus,0.000402378378,2502,78.5
Belize,8.3816332e-05,2153,65.0
Benin,0.002803493694,7679,391.5
Bhutan,0.000431321686,2514,129.5
"Bilateral, unspecified",0.17886027331399998,110003,5079.5
Bolivia,0.002411113767,6321,429.0
Bosnia and Herzegovina,0.0019232474999999998,8742,107.0
Botswana,0.00048078160000000005,2434,149.5
Brazil,0.002190737511,7771,770.0
Burkina Faso,0.005804747878999999,10984,550.5
Burundi,0.002159867565,4682,297.0
Cabo Verde,0.000354146432,1470,65.0
Cambodia,0.00412732114,12158,790.0
Cameroon,0.0038096810340000004,8399,536.0
"Caribbean & Central America, regional",0.0013808206439999999,3715,328.0
"Caribbean, regional",0.000699444355,2750,136.5
Central African Republic,0.002921721187,3886,50.5
"Central America, regional",0.000351693196,951,85.5
"Central Asia, regional",0.000745253869,2568,138.0
Chad,0.003260361839,4837,214.0
Chile,0.000162617238,920,34.0
China (People's Republic of),0.0040260497030000005,9146,464.0
Colombia,0.005644480613,15474,716.0
Comoros,0.000431760805,1519,84.0
Congo,0.0008163870920000001,2369,168.0
Cook Islands,2.2674109999999998e-05,192,7.0
Costa Rica,0.000435709495,5545,152.5
Cuba,0.003230388583,2360,119.5
Côte d'Ivoire,0.007112727505,7002,318.5
Democratic People's Republic of Korea,0.00010399773400000001,417,10.0
Democratic Republic of the Congo,0.013520540098,14222,918.5
Djibouti,0.0007591061620000001,2893,57.0
Dominica,0.00017674509,795,15.0
Dominican Republic,0.000859308676,5187,312.0
"Eastern Africa, regional",0.0011930117729999998,2169,374.5
Ecuador,0.0009591315849999999,5737,256.0
Egypt,0.006739704125,8567,114.5
El Salvador,0.0012457496140000001,7749,207.5
Equatorial Guinea,3.8551330999999996e-05,475,42.0
Eritrea,0.000173477256,652,33.5
Eswatini,0.0005201782009999999,2259,106.0
Ethiopia,0.025023276608,18278,1040.5
"Europe, regional",0.004417717542,7336,223.0
"Far East Asia, regional",0.001332691418,4221,426.0
Fiji,0.00053611256,2413,81.0
Gabon,0.00027452022599999996,1484,162.5
Gambia,0.000751616611,1868,37.0
Georgia,0.002295015705,8491,193.0
Ghana,0.005584390034,12349,700.0
Grenada,0.000179966398,735,23.5
Guatemala,0.002129013252,12523,633.0
Guinea,0.002242481168,5764,392.5
Guinea-Bissau,0.00033877615000000005,1178,46.5
Guyana,0.000386004804,1517,50.5
