recipient_name,usd_disb,proj_n
"Bilateral, unspecified",0.006659258746000001,6897
"South of Sahara, regional",0.0011522000000000001,2110
India,0.0013984026879999998,1974
Tanzania,0.0005758090019999999,1506
Indonesia,0.000601679521,1495
Kenya,0.00049151018,1439
Ethiopia,0.000759471921,1408
Senegal,0.000317883485,1393
Uganda,0.00034297388999999996,1368
Mozambique,0.0005215747539999999,1302
Madagascar,0.00033695986899999995,1259
Democratic Republic of the Congo,0.001003301549,1221
Viet Nam,0.000447629153,1183
Mali,0.00039845367,1178
Bangladesh,0.000491426466,1151
Cambodia,0.00020664672999999998,1067
Brazil,0.000468087582,1022
Peru,0.000392163128,976
Colombia,0.000476810523,916
Ghana,0.00028715656200000003,915
Burkina Faso,0.000193906408,911
Mexico,0.00018528098499999998,895
Malawi,0.000286469321,886
Nigeria,0.0008861327969999999,865
Nepal,0.00019526163299999998,804
Philippines,0.00044457485600000004,793
"Asia, regional",0.00028076286299999996,787
Guatemala,0.00017880620099999998,773
Zambia,0.000243872233,767
Cameroon,8.2162561e-05,726
China (People's Republic of),0.00019034999400000002,688
Haiti,0.000244136462,684
"Africa, regional",0.000531049297,680
Bolivia,0.000303391437,643
Honduras,0.000164860362,636
Benin,0.000218344297,623
"Western Africa, regional",0.00014442082400000002,594
South Africa,0.000109320947,577
Rwanda,0.00016948043300000001,545
"America, regional",0.00036101903700000004,538
"Far East Asia, regional",0.000219813154,534
Myanmar,0.000140221491,521
Guinea,9.0694738e-05,501
Niger,8.487792299999999e-05,474
"Eastern Africa, regional",8.3952221e-05,462
Morocco,0.000160704713,446
Côte d'Ivoire,0.00042157553100000003,441
Burundi,0.000132844741,433
Nicaragua,3.5789951e-05,427
"Caribbean & Central America, regional",0.000207092376,419
"South America, regional",0.00033914468399999997,408
Liberia,0.000129874826,407
Zimbabwe,5.6077432e-05,368
Lao People's Democratic Republic,0.000120922868,364
Chad,9.1259448e-05,352
Dominican Republic,3.5749036e-05,350
Ecuador,9.995841300000001e-05,341
"Europe, regional",0.00020251381000000002,325
Togo,2.822735e-05,308
Thailand,5.6690237e-05,305
Namibia,6.2738291e-05,297
Pakistan,8.599633399999999e-05,295
"Oceania, regional",0.000153284366,288
El Salvador,3.8491988e-05,284
Tajikistan,5.5154445000000005e-05,278
Georgia,9.6340876e-05,275
Tunisia,5.9797029e-05,269
Sierra Leone,6.9970038e-05,267
West Bank and Gaza Strip,4.9710043e-05,263
South Sudan,0.000118121792,259
Sri Lanka,0.000120747729,246
Jordan,0.000196748108,225
Malaysia,2.323984e-05,221
Congo,3.4752827000000004e-05,220
Papua New Guinea,0.000115071454,213
Bhutan,4.0889966000000004e-05,208
North Macedonia,3.7158355000000003e-05,207
Armenia,3.4226331e-05,205
Jamaica,2.6898468e-05,199
Mauritania,7.5194061e-05,195
Albania,3.9648948e-05,195
Moldova,2.8603815e-05,194
Lebanon,6.2307209e-05,191
Sudan,2.626155e-05,190
Mongolia,2.699137e-05,188
Costa Rica,8.3834266e-05,186
Egypt,2.6368883e-05,186
Gabon,2.8159419e-05,185
"Central Asia, regional",0.00010851700200000001,182
Yemen,7.353759100000001e-05,177
"Caribbean, regional",5.5006183e-05,177
"Southern Africa, regional",8.2507814e-05,173
Kyrgyzstan,1.7508773e-05,173
Paraguay,1.6162925000000002e-05,170
Botswana,4.9396478999999996e-05,169
Cuba,2.3166226e-05,168
Bosnia and Herzegovina,3.3427887e-05,166
Timor-Leste,4.906285e-05,166
Serbia,0.00024982228499999997,163
Argentina,2.3957986999999998e-05,162
