recipient_name,usd_disb,proj_n
"Bilateral, unspecified",0.006659258746000001,6897
India,0.0013984026879999998,1974
"South of Sahara, regional",0.0011522000000000001,2110
Democratic Republic of the Congo,0.001003301549,1221
Nigeria,0.0008861327969999999,865
Ethiopia,0.000759471921,1408
Indonesia,0.000601679521,1495
Tanzania,0.0005758090019999999,1506
"Africa, regional",0.000531049297,680
Mozambique,0.0005215747539999999,1302
Kenya,0.00049151018,1439
Bangladesh,0.000491426466,1151
Colombia,0.000476810523,916
Brazil,0.000468087582,1022
Viet Nam,0.000447629153,1183
Philippines,0.00044457485600000004,793
Côte d'Ivoire,0.00042157553100000003,441
Mali,0.00039845367,1178
Peru,0.000392163128,976
"America, regional",0.00036101903700000004,538
Uganda,0.00034297388999999996,1368
"South America, regional",0.00033914468399999997,408
Madagascar,0.00033695986899999995,1259
Senegal,0.000317883485,1393
Bolivia,0.000303391437,643
Ghana,0.00028715656200000003,915
Malawi,0.000286469321,886
"Asia, regional",0.00028076286299999996,787
Serbia,0.00024982228499999997,163
Haiti,0.000244136462,684
Zambia,0.000243872233,767
"Far East Asia, regional",0.000219813154,534
Benin,0.000218344297,623
"Middle East, regional",0.000215934786,71
"Caribbean & Central America, regional",0.000207092376,419
Cambodia,0.00020664672999999998,1067
"Europe, regional",0.00020251381000000002,325
Jordan,0.000196748108,225
Nepal,0.00019526163299999998,804
Burkina Faso,0.000193906408,911
China (People's Republic of),0.00019034999400000002,688
Mexico,0.00018528098499999998,895
Guatemala,0.00017880620099999998,773
Rwanda,0.00016948043300000001,545
Honduras,0.000164860362,636
Morocco,0.000160704713,446
"Oceania, regional",0.000153284366,288
"Western Africa, regional",0.00014442082400000002,594
Myanmar,0.000140221491,521
Mauritius,0.000133659382,90
Burundi,0.000132844741,433
Liberia,0.000129874826,407
Uzbekistan,0.000122091376,113
Lao People's Democratic Republic,0.000120922868,364
Sri Lanka,0.000120747729,246
South Sudan,0.000118121792,259
Papua New Guinea,0.000115071454,213
South Africa,0.000109320947,577
"Central Asia, regional",0.00010851700200000001,182
Ecuador,9.995841300000001e-05,341
Georgia,9.6340876e-05,275
Somalia,9.473416500000001e-05,133
Chad,9.1259448e-05,352
