year,count
1973,3095
1974,3286
1975,2671
1976,3550
1977,4273
1978,3935
1979,4387
1980,5026
1981,5973
1982,6912
1983,6864
1984,7629
1985,7424
1986,7250
1987,8528
1988,8284
1989,9893
1990,17216
1991,18064
1992,21850
1993,23127
1994,28237
1995,35137
1996,35485
1997,38364
1998,47938
1999,54776
2000,71913
2001,103419
2002,101944
2003,132633
2004,140179
2005,163297
2006,169105
2007,177617
2008,190596
2009,238999
2010,234172
2011,226016
2012,225041
2013,229487
2014,227251
2015,227905
2016,229465
2017,261269
2018,294509
2019,297582
2020,311447
2021,396786
2022,369826
2023,389266
