topic,year,usd_disbursement_defl,donor_name,recipient_name,text_snippet
0,,67.159729,Germany,"Bilateral, unspecified",Financing activities to reduce emissions from deforestation FINANCING ACTIVITIES TO REDUCE EMISSIONS FROM DEFORESTATION The Forest Carbon Partnership Facility (FCPF) is a World Bank pilot initiative to implement REDD+ (climate protection in
0,,66.184817,Germany,"Bilateral, unspecified",Financing activities to reduce emissions from deforestation FINANCING ACTIVITIES TO REDUCE EMISSIONS FROM DEFORESTATION The Forest Carbon Partnership Facility (FCPF) of the World Bank is the biggest multilateral initiative to implement REDD
0,,63.693344,Germany,"Bilateral, unspecified",Financing activities to reduce emissions from deforestation FINANCING ACTIVITIES TO REDUCE EMISSIONS FROM DEFORESTATION The Forest Carbon Partnership Facility (FCPF) of the World Bank is the biggest multilateral initiative to implement REDD
1,,4.947058,United States,Mozambique,"Alliance for Ecosystem Conservation Systems, Markets and Tourism (ECoSMarT) ALLIANCE FOR ECOSYSTEM CONSERVATION SYSTEMS, MARKETS AND TOURISM (ECOSMART) The ECoSMarT activity will conserve biodiversity in Mozaqmbique's largest and most undev"
1,,4.340246,United States,Kenya,Climate Resilient Community Conservancies Activity CLIMATE RESILIENT COMMUNITY CONSERVANCIES ACTIVITY The Climate Resilient Community Conservancies (CRCC) activity will address biodiversity threats through a landscape-scale approach and pro
1,,4.155514,France,China (People's Republic of),Restoration and valuation of the wetland of the Changyuan river at the Shanxi Restoration and valuation of the wetland of the Changyuan river at the Shanxi project intended to restore the ecological state of the wetland of the Changyuanhe N
2,,9.731834,Germany,Mexico,Conservation and sustainable use of biodiversity in the mountains of Mexiko CONSERVATION AND SUSTAINABLE USE OF BIODIVERSITY IN THE MOUNTAINS OF MEXIKO Conservation and sustainable use of biodiversity in the mountains of Mexico
2,,8.873989,International Development Association,Mozambique,Mozambique Conservation Areas for Biodiversity and Development - Phase 2 MOZAMBIQUE CONSERVATION AREAS FOR BIODIVERSITY AND DEVELOPMENT - PHASE 2
2,,7.45496,International Development Association,Mozambique,Mozambique Conservation Areas for Biodiversity and Development - Phase 2 MOZAMBIQUE CONSERVATION AREAS FOR BIODIVERSITY AND DEVELOPMENT - PHASE 2
3,,206.533137,International Development Association,Nigeria,Nigeria Erosion and Watershed Management Project NIGERIA EROSION AND WATERSHED MANAGEMENT PROJECT Nigeria Erosion and Watershed Management Project
3,,78.381393,International Development Association,Nigeria,Nigeria Erosion and Watershed Management Project NIGERIA EROSION AND WATERSHED MANAGEMENT PROJECT
3,,34.907009,International Development Association,Nigeria,Nigeria Erosion and Watershed Management Project NIGERIA EROSION AND WATERSHED MANAGEMENT PROJECT Nigeria Erosion and Watershed Management Project
4,,6.763771,Germany,Mauritania,"Fisheries Surveillance, phase V Fisheries Surveillance, phase V The coastal area of ​​Mauritania is one of the most fishy waters on the planet. Its economic exploitation significantly contributes to the national budget of Mauritania. Howeve"
4,,6.618482,Germany,Côte d'Ivoire,Biodiversity Conservation in the Tai - Grebo - Sapo rainforest complex BIODIVERSITY CONSERVATION IN THE TAI - GREBO - SAPO RAINFOREST COMPLEX Protection and conservation of biodiversity through the establishment of a conservation corridor b
4,,2.935995,Germany,"South of Sahara, regional",Transnational Protected Areas Great Limpopo Park VI TRANSNATIONAL PROTECTED AREAS GREAT LIMPOPO PARK VI Development of the Transfrontier Conservation Area - Great Limpopo Park
5,,10.619293,United States,"Western Africa, regional","West Africa Biodiversity and Low Emissions Development (WABiLED) WEST AFRICA BIODIVERSITY AND LOW EMISSIONS DEVELOPMENT (WABILED) The purpose of the task order includes: combatting wildlife trafficking, reducing deforestation, forest degrad"
5,,7.909235,United States,"Bilateral, unspecified",U.S. Forest Service (USFS) PAPA III Agreement U.S. FOREST SERVICE (USFS) PAPA III AGREEMENT U.S. Forest Service (USFS) PAPA III Agreement
5,,7.818256,United States,Viet Nam,Vietnam Forest and Deltas (VFD) Program - Clean Productive Environment VIETNAM FOREST AND DELTAS (VFD) PROGRAM - CLEAN PRODUCTIVE ENVIRONMENT The USAID/Vietnam Forests and Deltas (VFD) is a five year climate change program that was designed
6,,7.372556,United States,"Far East Asia, regional",USAID Wildlife Asia Task Order USAID WILDLIFE ASIA TASK ORDER The proposed work is covered by the existing CWT PAD and IEE and aligns with Task 1 Demand Reduction of Saving Species.
6,,5.247997,United States,"Far East Asia, regional",USAID Wildlife Asia Task Order USAID WILDLIFE ASIA TASK ORDER The proposed work is covered by the existing CWT PAD and IEE and aligns with Task 1 Demand Reduction of Saving Species.
6,,5.170621,EU Institutions,"South of Sahara, regional",UNODC Component: Cross-Regional Wildlife Programme UNODC COMPONENT: CROSS-REGIONAL WILDLIFE PROGRAMME UNODC together with CITES-MIKES and CMS will implement components of the specific objectives of the cross-regional wildlife conservation p
7,,5.803436,Germany,China (People's Republic of),Anhui V: Chizhou-Xinghua Biodiversity Conservation and Development ANHUI V: CHIZHOU-XINGHUA BIODIVERSITY CONSERVATION AND DEVELOPMENT Financing of Biodiversity and Development measures
7,,2.5997,United States,"Bilateral, unspecified","Measuring Impact 2 (MI 2) MEASURING IMPACT 2 (MI 2) Building upon the successes of its Measuring Impact activity, the Forestry and Biodiversity office will launch a new program in FY18 to contribute to the effectiveness of biodiversity prog"
7,,2.441725,Japan,India,Sikkim Biodiversity Conservation and Forest Management Project SIKKIM BIODIVERSITY CONSERVATION AND FOREST MANAGEMENT PROJECT To strengthen biodiversity conservation
8,,3.502879,United States,"Far East Asia, regional","USAID Green Invest Asia USAID GREEN INVEST ASIA Market forces and private sector investments, especially in agriculture, are driving forest loss in Southeast Asia. USAID Green Invest Asia aims to catalyze private finance into climate smart "
8,,3.464587,United States,"Far East Asia, regional","USAID Green Invest Asia USAID GREEN INVEST ASIA Market forces and private sector investments, especially in agriculture, are driving forest loss in Southeast Asia. USAID Green Invest Asia aims to catalyze private finance into climate smart "
8,,3.390907,United States,"Far East Asia, regional","USAID Green Invest Asia USAID GREEN INVEST ASIA Market forces and private sector investments, especially in agriculture, are driving forest loss in Southeast Asia. USAID Green Invest Asia aims to catalyze private finance into climate smart "
9,,60.088109,Germany,"Bilateral, unspecified",Global Partnership for Sustainable and Resilient Landscapes (PROGREEN) GLOBAL PARTNERSHIP FOR SUSTAINABLE AND RESILIENT LANDSCAPES (PROGREEN) ProGreen is a World Bank Multi-Donor Trust Fund that supports countries' efforts to improve liveli
