topic,donor_name,usd_disbursement_defl
0,Germany,670.001034
0,United States,167.147942
0,Norway,145.967012
0,United Kingdom,101.402798
0,EU Institutions,93.636503
0,France,86.803848
0,Sweden,53.949159
0,Belgium,16.947841
0,Finland,15.582811999999999
0,Switzerland,10.783758
0,Global Environment Facility,7.888044
0,Italy,6.072484
0,Korea,4.176075
0,Austria,3.175887
0,International Development Association,2.754186
1,United States,61.755603
1,Germany,12.763478
1,France,4.547491
1,Japan,0.709088
1,EU Institutions,0.659602
1,Global Environment Facility,0.464616
1,United Kingdom,0.037039
1,Sweden,0.012725
1,Norway,0.0
2,Germany,76.109303
2,International Development Association,62.740674
2,Sweden,37.135336
2,Global Environment Facility,33.703297
2,France,14.741927
2,EU Institutions,14.400364
2,Belgium,6.862582
2,Switzerland,5.438428
2,United States,3.4146039999999998
2,Norway,3.228236
2,Austria,0.666721
2,Inter-American Development Bank,0.440147
2,Japan,0.35677499999999995
2,United Arab Emirates,0.313727
2,Italy,0.30904200000000004
3,International Development Association,463.503894
3,United States,288.993792
3,Germany,95.420795
3,Global Environment Facility,64.28324
3,France,54.321382
3,EU Institutions,16.404477
3,Finland,8.521391999999999
3,Sweden,8.015479000000001
3,New Zealand,6.667485
3,United Kingdom,5.2304450000000005
3,Norway,3.1713999999999998
3,Belgium,2.433011
3,Australia,1.761028
3,Austria,0.974429
3,Spain,0.648788
4,United States,61.416967
4,Germany,37.166543
4,Global Environment Facility,6.946256
4,United Kingdom,5.132197
4,EU Institutions,3.4854529999999997
4,Belgium,2.999862
4,Canada,2.0360210000000003
4,France,1.07675
4,Sweden,0.246235
4,Austria,0.207363
4,United Arab Emirates,0.201726
4,Japan,0.069328
4,Finland,0.059942
4,Italy,0.040527
4,Norway,0.035599
5,United States,301.09574
5,International Development Association,27.250347
5,France,4.561548999999999
5,Germany,2.277649
5,Global Environment Facility,0.206462
5,EU Institutions,0.145837
5,Belgium,0.043901
5,Norway,0.029074
6,United States,149.162205
6,EU Institutions,22.797856
6,Germany,11.267421
6,Global Environment Facility,11.037135
6,United Kingdom,9.830613
6,Norway,4.194758
6,Belgium,2.6700690000000002
6,Denmark,2.28539
6,Sweden,0.199275
6,Korea,0.113357
6,Finland,0.072532
6,United Arab Emirates,0.050501000000000004
6,France,0.003569
6,Italy,0.001485
6,International Development Association,0.0
7,United States,26.357655
7,Germany,20.861094
7,Global Environment Facility,8.086162999999999
7,Japan,2.441725
7,United Kingdom,2.297092
7,EU Institutions,1.238304
7,France,0.774046
7,Norway,0.094498
7,Inter-American Development Bank,0.09146
7,International Development Association,0.0
8,United States,22.328283
8,Germany,21.931843999999998
8,Australia,10.702183999999999
8,Global Environment Facility,1.645622
8,International Development Association,1.1059
8,Korea,0.387826
8,France,0.335581
8,United Kingdom,0.140694
8,Italy,0.01098
8,New Zealand,0.0
9,Germany,170.44300700000002
9,United Kingdom,14.853577
9,United States,13.30333
9,Sweden,8.518105
9,Global Environment Facility,2.36789
9,EU Institutions,0.277085
9,France,0.211099
9,Norway,0.190039
9,International Development Association,0.0
10,United States,167.631107
10,Germany,85.903559
10,Japan,62.017519
10,EU Institutions,37.551235
10,Norway,33.387251
10,United Kingdom,22.90842
10,Sweden,15.636467
10,Canada,8.793993
10,Belgium,8.332843
10,Netherlands,7.332451
10,Australia,3.559748
10,Austria,2.523139
10,Global Environment Facility,2.486537
10,Korea,2.361903
10,International Development Association,1.798477
11,United States,80.240035
11,Canada,2.750476
11,Denmark,2.433159
11,Japan,1.794921
11,Norway,1.175165
11,Global Environment Facility,0.7640710000000001
11,United Kingdom,0.167148
11,EU Institutions,0.113694
11,Germany,0.095181
11,France,0.016409
12,United States,54.917749
12,Sweden,15.089008
12,Germany,12.691631000000001
12,Norway,10.222197000000001
12,Belgium,6.118593
12,EU Institutions,4.288294
12,Switzerland,2.169658
12,France,0.8306020000000001
12,Austria,0.214761
12,Finland,0.039267
12,Italy,0.0
13,Canada,20.420365
13,Belgium,0.952551
13,EU Institutions,0.594297
13,Switzerland,0.055446
13,Austria,0.012327
13,France,0.005125
14,United States,45.249902
14,International Development Association,36.994841
14,Germany,20.045458
14,United Kingdom,10.203004
14,France,7.499131
14,Global Environment Facility,3.225263
14,Korea,1.211599
14,Adaptation Fund,0.679
14,EU Institutions,0.413996
14,Inter-American Development Bank,0.218229
14,New Zealand,0.127874
14,Canada,0.081315
14,Sweden,0.069174
14,Norway,0.046631
14,Austria,0.010102
15,United Arab Emirates,8.847594
15,Global Environment Facility,7.291589
15,United States,6.763555
15,Germany,6.36106
15,United Kingdom,4.4877460000000005
15,New Zealand,4.4376739999999995
15,EU Institutions,2.3168480000000002
15,Sweden,1.031133
15,Norway,0.676176
15,Italy,0.577395
15,France,0.398992
15,Austria,0.150676
15,Canada,0.01312
15,Spain,0.001946
15,Poland,0.001091
16,Germany,134.563484
16,Global Environment Facility,47.270019
16,International Development Association,28.932454
16,EU Institutions,8.601473
16,Sweden,4.4259129999999995
16,Canada,4.388939
16,United States,3.65832
16,Inter-American Development Bank,2.502674
16,France,1.842594
16,Norway,0.806961
16,Italy,0.474775
16,United Kingdom,0.35513
16,Austria,0.284078
16,Switzerland,0.066548
16,Czechia,0.048882999999999996
17,Germany,25.477337
17,United States,17.568454
17,Sweden,6.576179
17,France,2.681355
17,United Arab Emirates,1.829476
17,Global Environment Facility,0.334167
17,Italy,0.076746
18,United States,46.580874
18,Germany,21.743955
18,Global Environment Facility,15.557855
18,EU Institutions,6.888257
18,Switzerland,2.341437
18,Belgium,1.192818
18,Norway,0.649819
18,United Kingdom,0.505765
18,Korea,0.472648
18,Canada,0.442878
18,Austria,0.423541
18,United Arab Emirates,0.250749
18,Sweden,0.193441
18,Italy,0.128259
18,Czechia,0.127549
19,International Development Association,35.560401
19,Spain,0.336098
19,Germany,0.236289
19,Sweden,0.0
20,United States,146.584848
20,Germany,22.575724
20,International Development Association,20.651313
20,EU Institutions,16.228583
20,Global Environment Facility,12.068381
20,France,9.410119
20,United Kingdom,5.183688
20,Sweden,4.977998
20,Norway,2.218101
20,Korea,1.821339
20,Belgium,0.6412640000000001
20,Iceland,0.589279
20,Italy,0.243401
21,Germany,629.29499
21,United States,150.105643
21,Sweden,118.743317
21,United Kingdom,76.955342
21,EU Institutions,38.805935
21,Norway,23.76967
21,Switzerland,21.88288
21,France,16.130294
21,Austria,14.31572
21,Global Environment Facility,9.712872
21,Denmark,8.393085
21,Belgium,5.42406
21,Australia,5.217938
21,Finland,4.659779
21,Netherlands,3.900423
22,Canada,3.290076
22,Sweden,2.54137
22,France,0.030631
23,United States,219.912759
23,Norway,51.886926
23,Germany,10.480037
23,Japan,5.425722
23,United Arab Emirates,4.487252
23,Netherlands,4.32526
23,EU Institutions,3.067182
23,France,1.9338639999999998
23,Sweden,1.474555
23,Canada,1.057832
23,Global Environment Facility,0.414276
23,Austria,0.290826
23,United Kingdom,0.10510399999999999
23,Finland,0.076994
23,Korea,0.002322
24,United States,271.911732
24,Germany,55.82385
24,Sweden,51.490278
24,EU Institutions,32.273583
24,Belgium,28.621465999999998
24,France,20.707520000000002
