topic,recipient_name,usd_disbursement_defl
0,"Bilateral, unspecified",373.85855
0,"South of Sahara, regional",269.149625
0,Colombia,95.256388
0,Peru,77.210944
0,"Africa, regional",72.909147
0,Morocco,44.859986
0,Democratic Republic of the Congo,43.415634
0,"South America, regional",40.488021
0,"Middle Africa, regional",39.151486
0,Cambodia,29.385317
0,India,20.915501
0,Mexico,20.317534000000002
0,Viet Nam,17.624353
0,Zambia,16.981562
0,Indonesia,13.986283
1,Mozambique,29.492791
1,Kenya,29.265994
1,"Asia, regional",12.013026
1,China (People's Republic of),4.155514
1,Brazil,2.080749
1,Viet Nam,1.372061
1,Panama,0.709088
1,"Bilateral, unspecified",0.595572
1,"North of Sahara, regional",0.391977
1,Mexico,0.292597
1,Lao People's Democratic Republic,0.252781
1,Kazakhstan,0.14387
1,Cambodia,0.136905
1,Indonesia,0.037039
1,India,0.009678
2,Mozambique,64.925455
2,"Bilateral, unspecified",51.352535
2,"South of Sahara, regional",25.954963
2,Ethiopia,14.600136000000001
2,Mexico,10.366873
2,Lao People's Democratic Republic,7.687533999999999
2,Madagascar,7.040075
2,"Eastern Africa, regional",6.766465
2,"Africa, regional",6.189045
2,Mauritania,4.339783
2,"Oceania, regional",4.047793
2,Namibia,3.803329
2,Tanzania,3.675441
2,Costa Rica,3.565706
2,China (People's Republic of),3.534852
3,Nigeria,460.182376
3,Indonesia,65.281323
3,Colombia,61.652608
3,Viet Nam,56.334161
3,"Bilateral, unspecified",53.573475
3,Philippines,48.734299
3,Brazil,25.878476
3,"South of Sahara, regional",24.961974
3,Nepal,20.948110999999997
3,"Asia, regional",18.416533
3,Haiti,15.127008
3,Uganda,14.272302000000002
3,China (People's Republic of),11.339053
3,Peru,10.2474
3,Malawi,9.813576000000001
4,"South of Sahara, regional",14.650046
4,Tanzania,13.395764
4,Côte d'Ivoire,10.595611
4,Mauritania,6.763771
4,Cameroon,6.652476
4,Indonesia,5.87596
4,Democratic Republic of the Congo,5.256011
4,Kenya,4.849916
4,Congo,4.411104
4,Gabon,3.480801
4,"Bilateral, unspecified",3.4401569999999997
4,Mozambique,3.425629
4,Thailand,2.69647
4,India,2.502381
4,Nepal,2.173197
5,"South of Sahara, regional",117.213071
5,"Bilateral, unspecified",30.240486
5,"Western Africa, regional",19.206392
5,Zambia,18.946342
5,Colombia,14.446315
5,Honduras,11.6234
5,Viet Nam,11.503382
5,Kyrgyzstan,11.308078
5,Bangladesh,10.314468999999999
5,Brazil,7.933168
5,Ethiopia,7.929359
5,Mexico,7.858856
5,Peru,6.8133420000000005
5,"Asia, regional",6.0124699999999995
5,Ghana,5.049541
6,"Bilateral, unspecified",45.706518
6,"Far East Asia, regional",31.956986
6,"South of Sahara, regional",27.202537
6,"Southern Africa, regional",21.427278
6,Bangladesh,12.357106
6,Viet Nam,11.513327
6,Mozambique,8.026126999999999
6,Indonesia,6.4524170000000005
6,Malawi,5.281785
6,"Asia, regional",4.573791
6,Peru,4.354765
6,Uganda,4.166177
