recipient_name,project_count
"Bilateral, unspecified",570436
India,147813
Indonesia,116894
China (People's Republic of),114635
Kenya,97779
Ethiopia,92259
Tanzania,89705
"South of Sahara, regional",89648
Viet Nam,89134
Bangladesh,83868
Mozambique,78296
Pakistan,77962
Uganda,77136
Philippines,76145
Peru,70712
Brazil,69298
Democratic Republic of the Congo,68270
Senegal,66993
Colombia,66636
"Africa, regional",64820
Mali,61193
Ghana,60790
Morocco,60554
Nepal,59709
Bolivia,58471
Nigeria,58456
Burkina Faso,57782
Afghanistan,57640
Sri Lanka,55805
Egypt,55649
Cambodia,55224
Guatemala,54818
South Africa,52906
West Bank and Gaza Strip,51869
Zambia,51721
Nicaragua,49633
"Asia, regional",48841
Malawi,48705
Ukraine,47638
Haiti,46750
Myanmar,45692
Madagascar,45616
Rwanda,45171
Tunisia,44813
Honduras,44715
Serbia,44005
Mexico,43830
Sudan,42881
Ecuador,42865
Cameroon,42752
Bosnia and Herzegovina,42360
Zimbabwe,41441
"America, regional",41055
"Europe, regional",40860
Niger,40246
Jordan,39582
Türkiye,39267
Benin,38166
El Salvador,38086
Lao People's Democratic Republic,38001
Côte d'Ivoire,36378
Georgia,36103
Lebanon,36070
Thailand,35727
Albania,33778
Iraq,32847
Yemen,32434
Argentina,30602
Mongolia,30347
Guinea,30294
Burundi,29424
Chad,29145
Dominican Republic,29057
Somalia,28853
Kyrgyzstan,27957
Moldova,27560
Armenia,27438
Angola,27307
Sierra Leone,26886
Liberia,26593
Syrian Arab Republic,25921
Mauritania,25740
Tajikistan,25503
North Macedonia,24466
Uzbekistan,24463
Papua New Guinea,24444
Paraguay,23651
"Caribbean & Central America, regional",23056
South Sudan,22148
"Middle East, regional",21746
Togo,21712
Jamaica,21596
Costa Rica,20171
Algeria,20045
"South America, regional",19820
"Oceania, regional",19624
Azerbaijan,19096
Namibia,19017
Timor-Leste,18847
Kosovo,18674
Kazakhstan,18645
Cuba,18449
Panama,17742
Central African Republic,17517
Lesotho,16075
Cabo Verde,15956
Malaysia,15813
"Far East Asia, regional",15738
Chile,15683
Guinea-Bissau,15202
Congo,14857
Wallis and Futuna,14157
Fiji,13983
Venezuela,13922
Gambia,13584
"Caribbean, regional",12981
Solomon Islands,12920
Botswana,12761
Djibouti,12722
Bhutan,12343
Belarus,12059
Iran,11777
Eswatini,11576
"North of Sahara, regional",11409
Vanuatu,11192
Guyana,11037
"Central Asia, regional",10975
Montenegro,10838
Eritrea,10676
Uruguay,10511
Gabon,10204
"South & Central Asia, regional",10052
Samoa,9964
"South Asia, regional",8801
Mauritius,8763
Comoros,8561
Tonga,8298
Sao Tome and Principe,8226
Belize,8138
Maldives,7736
Libya,7519
Turkmenistan,6670
Croatia,6447
Kiribati,6317
"Western Africa, regional",6223
Suriname,5895
Democratic People's Republic of Korea,5421
Saint Lucia,5413
Equatorial Guinea,5043
Micronesia,4786
"Eastern Africa, regional",4733
Dominica,4290
Grenada,4063
Marshall Islands,4022
Saint Vincent and the Grenadines,3984
Tuvalu,3866
Seychelles,3056
States Ex-Yugoslavia unspecified,3037
Palau,3027
Israel,2617
Korea,2573
"Central America, regional",2490
Nauru,2477
Cook Islands,2229
Trinidad and Tobago,2027
"Southern Africa, regional",2026
Niue,1966
Montserrat,1747
Saint Helena,1537
Antigua and Barbuda,1394
Saint Kitts and Nevis,1107
Mayotte,1097
Barbados,1071
Oman,975
New Caledonia,748
Tokelau,715
Saudi Arabia,684
Slovenia,641
French Polynesia,584
Anguilla,476
Netherlands Antilles,456
Turks and Caicos Islands,423
"Middle Africa, regional",393
Cyprus,340
Malta,329
Chinese Taipei,233
Bahrain,202
Singapore,161
Aruba,156
Hong Kong (China),130
British Virgin Islands,129
Northern Mariana Islands,104
"Melanesia, regional",94
United Arab Emirates,67
East African Community,62
Bahamas,49
Cayman Islands,46
Gibraltar,43
Kuwait,22
Bermuda,17
"Micronesia, regional",16
Qatar,15
Brunei Darussalam,14
"Polynesia, regional",13
Macau (China),11
