cluster,pretty_label
0,"education, development, credit"
16,"development, will"
1,"aggregated, œuvrent, engagera"
13,"development, sector, education"
11,"narcotics, enforcement, law"
15,"health, services, maternal"
2,"administrative, operating, expenses"
12,"rights, civil, society"
9,projet
5,"scholarships, scholarship, students"
18,"redacted, unspecified, information"
17,"assistance, humanitarian, emergency"
3,"outlined, exceptions, accordance"
10,"water, sanitation, supply"
19,"goods, maintanence, miscellaneous"
4,"corps, peace, volunteer"
6,"staff, maintenance, such"
14,"humanitarian, volunteering, actions"
8,"aids, hiv, prevention"
7,"taxes, federal, contributions"
