activity_id,donor_name,recipient_name,text_preview
001859,International Development Association,Bangladesh,Small Scale Industry Project (02) SMALL SCALE INDUSTRY PROJECT (02)
002117,International Development Association,India,Population Project POPULATION PROJECT
002118,International Development Association,India,Shipping Project SHIPPING PROJECT
1961000610,International Development Association,Sudan,Roseires Irrigation and Soil Surveys Project ROSEIRES IRRIGATION AND SOIL SURVEYS PROJECT
1961000611,International Development Association,Sudan,Roseires Irrigation and Soil Surveys Project ROSEIRES IRRIGATION AND SOIL SURVEYS PROJECT
1964001483,International Development Association,Bangladesh,Education Project EDUCATION PROJECT
1964001484,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001485,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001667,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001719,International Development Association,Bangladesh,Education Project EDUCATION PROJECT
1964001720,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001721,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001773,International Development Association,Bangladesh,Education Project EDUCATION PROJECT
1964001774,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001775,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001814,International Development Association,Bangladesh,Education Project EDUCATION PROJECT
1964001815,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001816,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1964001827,International Development Association,Bangladesh,Education Project EDUCATION PROJECT Education Project
1964001828,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01) Highways Project (01)
1964001829,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01) Highways Project (01)
1964001883,International Development Association,Bangladesh,Highways Project (01) HIGHWAYS PROJECT (01)
1966001488,International Development Association,Bangladesh,Foodgrain Storage Project FOODGRAIN STORAGE PROJECT
1966001724,International Development Association,Bangladesh,Foodgrain Storage Project FOODGRAIN STORAGE PROJECT
1966001778,International Development Association,Bangladesh,Foodgrain Storage Project FOODGRAIN STORAGE PROJECT
