activity_id,donor_name,recipient_name,text_preview
1961000000,Denmark,Viet Nam,"Son La Radio and Television Station, Vietnam SON LA RADIO AND TELEVISION STATION, VIETNAM The objective of the project is to enable the radio and television station to produce Public Service Programmes of high quality, which will contribute to the social and e"
1979000155z,New Zealand,Peru,"Head of Mission Fund: Peru HEAD OF MISSION FUND: PERU The purpose of the HOMF is to enable New Zealand Posts, consistent with their diplomacy objectives, to flexibly support activities which manifestly and directly meet development needs in recipient countries"
1980001674,Switzerland,India,Indo-Swiss Collaboration in Biotechnology (ISCB) INDO-SWISS COLLABORATION IN BIOTECHNOLOGY (ISCB) The Indo-Swiss Collaboration on Biotechnology is a long-standing (over 40 years) agricultural research cooperation between Switzerland and India. It aims to devel
1980001675,Switzerland,"Bilateral, unspecified","Contribution de programme de la DDC à Swissaid CONTRIBUTION DE PROGRAMME DE LA DDC À SWISSAID The SDC negotiates programme contributions as part of institutional partnerships. For the assessment and negotiation of programme contributions, which is based on the"
1980001676,Switzerland,"Bilateral, unspecified",Contribution de programme de la DDC à HELVETAS Swiss Intercooperation CONTRIBUTION DE PROGRAMME DE LA DDC À HELVETAS SWISS INTERCOOPERATION The SDC negotiates programme contributions as part of institutional partnerships. For the assessment and negotiation of 
1980001680,Switzerland,India,Indo-Swiss Collaboration in Biotechnology (ISCB) INDO-SWISS COLLABORATION IN BIOTECHNOLOGY (ISCB) The Indo-Swiss Collaboration on Biotechnology is a long-standing (over 40 years) agricultural research cooperation between Switzerland and India. It aims to devel
1980001687,Switzerland,"Bilateral, unspecified","Contributions de programme à des ONG suisses CONTRIBUTIONS DE PROGRAMME À DES ONG SUISSES The SDC negotiates programme contributions as part of institutional partnerships. For the assessment and negotiation of programme contributions, which is based on the NGO"
1980001688,Switzerland,"Bilateral, unspecified","Contributions de programme à des ONG suisses CONTRIBUTIONS DE PROGRAMME À DES ONG SUISSES The SDC negotiates programme contributions as part of institutional partnerships. For the assessment and negotiation of programme contributions, which is based on the NGO"
1980001704,Switzerland,"Bilateral, unspecified","Contributions de programme à des ONG suisses CONTRIBUTIONS DE PROGRAMME À DES ONG SUISSES The SDC negotiates programme contributions as part of institutional partnerships. For the assessment and negotiation of programme contributions, which is based on the NGO"
1980001705,Switzerland,"Bilateral, unspecified","Contributions de programme à des ONG suisses CONTRIBUTIONS DE PROGRAMME À DES ONG SUISSES The SDC negotiates programme contributions as part of institutional partnerships. For the assessment and negotiation of programme contributions, which is based on the NGO"
