year,sdg_target,usd_disb
2015,SDG15.1,108.376265
2015,SDG15.2,7.46001
2015,SDG15.3,8.87753
2015,SDG15.4,6.111357
2015,SDG15.5,0.912257
2015,SDG15.7,30.463003
2015,SDG15.8,7.081627
2015,SDG15.9,66.094955
2016,SDG15.1,214.051728
2016,SDG15.2,4.2308330000000005
2016,SDG15.3,6.188534
2016,SDG15.4,22.656887
2016,SDG15.5,2.607619
2016,SDG15.7,76.359525
2016,SDG15.8,3.3261049999999996
2016,SDG15.9,196.816268
2017,SDG15.1,231.128445
2017,SDG15.2,4.252807
2017,SDG15.3,8.582084
2017,SDG15.4,11.738052999999999
2017,SDG15.5,4.0178650000000005
2017,SDG15.7,73.011549
2017,SDG15.8,6.472219
2017,SDG15.9,287.989961
2018,SDG15.1,241.788356
2018,SDG15.2,12.255334000000001
2018,SDG15.3,10.38936
2018,SDG15.4,18.326651000000002
2018,SDG15.5,4.155264
2018,SDG15.7,72.180794
2018,SDG15.8,0.382261
2018,SDG15.9,193.779414
2019,SDG15.1,176.553284
2019,SDG15.2,8.01428
2019,SDG15.3,22.574732
2019,SDG15.4,21.418933
2019,SDG15.5,5.423723
2019,SDG15.7,73.607067
2019,SDG15.8,2.116622
2019,SDG15.9,161.977438
2020,SDG15.1,217.014217
2020,SDG15.2,13.421555
2020,SDG15.3,7.218592
2020,SDG15.4,16.056484
2020,SDG15.5,7.557611
2020,SDG15.7,57.366701
2020,SDG15.8,10.557022
2020,SDG15.9,155.596435
2021,SDG15.1,114.175419
2021,SDG15.2,5.432433
2021,SDG15.3,7.755058
2021,SDG15.4,5.575781
2021,SDG15.5,5.089334
2021,SDG15.7,63.244232
2021,SDG15.8,9.521242
2021,SDG15.9,198.964987
2022,SDG15.1,97.29543
2022,SDG15.2,5.917521
2022,SDG15.3,5.037492
2022,SDG15.4,3.925699
2022,SDG15.5,3.956619
2022,SDG15.7,39.445579
2022,SDG15.8,3.539984
2022,SDG15.9,98.628011
2023,SDG15.1,236.795454
2023,SDG15.2,21.521487
2023,SDG15.3,9.987501
2023,SDG15.4,5.792555
2023,SDG15.5,7.899908
2023,SDG15.7,56.98114
2023,SDG15.8,2.461162
2023,SDG15.9,460.02644
